chapter_number,chapter_title,theme,keyword_count
1,Rural Development in Kazakhstan,education,5
1,Rural Development in Kazakhstan,health,7
1,Rural Development in Kazakhstan,inequality,73
1,Rural Development in Kazakhstan,economy,60
1,Rural Development in Kazakhstan,gender,0
1,Rural Development in Kazakhstan,climate_environment,27
1,Rural Development in Kazakhstan,employment,7
2,The Economy as a Factor in Sustainable Rural Human Development,education,0
2,The Economy as a Factor in Sustainable Rural Human Development,health,2
2,The Economy as a Factor in Sustainable Rural Human Development,inequality,55
2,The Economy as a Factor in Sustainable Rural Human Development,economy,38
2,The Economy as a Factor in Sustainable Rural Human Development,gender,2
2,The Economy as a Factor in Sustainable Rural Human Development,climate_environment,55
2,The Economy as a Factor in Sustainable Rural Human Development,employment,12
3,Social Development in Rural Kazakhstan,education,139
3,Social Development in Rural Kazakhstan,health,77
3,Social Development in Rural Kazakhstan,inequality,347
3,Social Development in Rural Kazakhstan,economy,112
3,Social Development in Rural Kazakhstan,gender,82
3,Social Development in Rural Kazakhstan,climate_environment,77
3,Social Development in Rural Kazakhstan,employment,58
4,A Proposed Approach to Rural Development,education,42
4,A Proposed Approach to Rural Development,health,33
4,A Proposed Approach to Rural Development,inequality,153
4,A Proposed Approach to Rural Development,economy,67
4,A Proposed Approach to Rural Development,gender,6
4,A Proposed Approach to Rural Development,climate_environment,41
4,A Proposed Approach to Rural Development,employment,21
